,name,street,zip,city,siren,status,description,working_hours,no_cars
0,007AUTOMOTIVE,11 rue des deux boulevards,94100,Saint-Maur-des-Fossés,903155968,Actif depuis le 12/11/2021,"007 Automotive, c’est un professionnel qui veut vous transmettre la passion de l'automobile en vous dénichant une sélection de véhicules de qualité qui sont contrôlés par des experts afin de vous satisfaire au mieux.","Lundi au Samedi 09h00-18h00
Possibilité de prendre des rdv le dimanche sur demande.",Annonces (11)
1,03 ABS AUTO,14 place de blanzat,3100,Montluçon,811944909,Actif depuis le 20/09/2015,"Le garage 03 ABS AUTO est spécialisé dans la vente et reprise de véhicules d'occasion multimarques.

Situé à Montluçon dans l'allier, nous proposons à la vente tous types de véhicules ( citadines, berlines, utilitaires, monospaces, SUV, 4X4.. ).

Rachat possible de votre véhicule.

Arrivage permanent de véhicules de 2500 à 30 000 euros.

Adresse du garage : 14 place de Blanzat 03100 MONTLUCON

Pour plus de renseignements n'hésitez pas a nous contacter au 06.79.73.79.04.","Disponible sur RENDEZ-VOUS DU LUNDI AU SAMEDI 
HORAIRES : 8h30 / 18h30",Annonces (81)
2,06MOTORS,149 IMPASSE DES SERRES,6670,Saint-Martin-du-Var,930640362,Actif depuis le 02/08/2024,"🏍️06Motors est une société de passionnés dédiée à l'univers des deux-roues 🏍️ 

 🔍Offrant un service de recherche spécialisé pour les modèles de motos rares et recherchés.🔎 

 En tant que revendeur multi-marques, nous proposons également une large sélection de motos d'occasion, soigneusement sélectionnées et vendu avec une garantie 3 mois !! ✅",sur rendez-vous,Annonces (10)
3,1000 AUTOS,10 rue du Dronckaert,59223,Roncq,813886603,Actif depuis le 24/05/2024,"Bienvenue chez 1000 AUTOS 
1000 AUTOS est spécialisé dans :
L'achats/ventes et reprise, financement de véhicules 
d'occasions toutes marques. 
Nos véhicules sont contrôlés par notre propre équipe de 
mécanique et sont préparés avant d'être mis à la vente. Tous
nos véhicules disposent d'une garantie 3 mois extensible 
jusqu'à 48 mois. 
Nous sommes situé à Roncq 10 min de Lille dans le 
département du Nord (59000) 

Nos véhicules sont visible sur notre parc situé au : 
10 rue du Dronckaert 
59223 Roncq 

Contact: 
- 03.20.25.15.18 
- 06.98.32.55.77
- 07.63.57.55.77",Lundi au samedi de 09H00 à 12H00 et de 14H00 à 18H00.,Annonces (49)
4,100% MOTO,1&3 rue pierre loti,42100,ST ETIENNE,452069610,Actif depuis le 02/11/2010,"DUCATI SAINT-ETIENNE

DÉCOUVREZ NOS OCCASIONS

Ducati Saint-Etienne vous accompagne tout au long de votre expérience avec le constructeur italien de référence.

Concessionnaire exclusif Ducati dans la Loire et Haute Loire, nous proposons à la vente un large choix de motos d’occasion.","du mardi au vendredi: 09h00-12h00 14h00-19h00
samedi: 09h00-12h00 14h00-18h00",Annonces (28)
5,100% MOTO 86,18 Rue du Bois d'Amour,86000,Poitiers,802974089,Actif depuis le 29/04/2020,"Réparation & entretien toutes marques.
Spécialiste dans le TOUT-TERRAIN et dans le domaine du scooter 50cc et maxiscooter.
Large choix en pièces d'occasion, mbk, yamaha, peugeot, piaggio.
Nous proposons également à la vente des motos neuves et d'occasions.
Tous nos véhicules sont préparés, révisés et garantis par notre équipe de professionnels.
Nous réalisons toutes les tâches administratives.
Tous nos véhicules d'occasions sont garantis miminum 3 mois ou 3000km

Nous faisons aussi de la location de scooter à la journée ou au mois assurance comprise à partir de 9.90€ par jour

Envoi des pieces d'occasion sous 48h par COLISSIMO","lundi après-midi de 14 h à 19 h
Mardi au Vendredi de 9 h 30 à 12 h 15 et de 14 h à 19 h 
Samedi de 9 h 30 à 12 h 30 et de 14 h à 18 h.",Annonces (12)
6,100pour100 2 ROUES,17 RUE JEAN MOULIN,94370,Sucy-En-Brie,345223242,Actif depuis le 30/04/2023,"Des SUZUKI et PEUGEOT neufs
Des occasions sélectionnées, révisées, garanties.
Des accessoires (équipements pilotes, bagagerie, tuning…)
Du service rapide, disponible et de qualité
Du financement (4 fois sans frais, 10 fois, 20 fois, crédit, leasing, particulier ou entreprise)
Des promotions, des conseils et du suivi.

Depuis onze ans déjà je suis avec mon équipe à vôtre disposition,

venez rejoindre mon univers où mes clients ne sont pas que des clients…


Merci à tous, à bientôt

Eric G","OUVERT DU MARDI AU VENDREDI
DE 9H A 12H30 ET 14H A 19H
LE SAMEDI DE 9H30 A 12H30
ET 14H A 18H",Annonces (23)
7,123 DIAGAUTO.COM,39 LOT CLOS DE L'ECOLE,29510,Landrévarzec,522722925,Actif depuis le 20/01/2023,"Le spécialiste Français des Appareils Diagnostic Automobiles Multimarques

LAUNCH, THINKCAR, OTOFIX, TOPDON, KINGBOLEN, AUTEL, 

Le meilleur appareil diagnostic sélectionné pour vous suivant votre besoin !",lundi au samedi 9h00 -19h00.,Annonces (60)
8,1.2.3 PARTEZ ALBERT,177 AV DU GENERAL FAIDHERBE,80300,Albert,835217621,Actif depuis le 01/06/2022,"Notre vocation est de vous proposer des véhicules d'occasion
 au meilleur rapport qualité/prix

Ve&#769;hicule accessible a&#768; toutes les gammes de prix.
Ve&#769;hicule garantit 3 mois par l'assurreur Total VO.
93 points de contro&#770;le.
Zéro frais d’entretien pendant 1 an ou 15000 km.*

Acheter votre véhicule d’occasion avec 123 partez c’est la 
garantie d’un achat facile, sécurisé et de disposer d’un 
véhicule fiable au bon prix.","LUNDI AU SAMEDI DE 8H00 A 12H00 ET DE 14H00 A
 19H00",Annonces (19)
9,1340 MOTORCYCLES,1 rue charles sauria,49130,Les Ponts De Cé,521903310,Actif depuis le 02/11/2010,"Spécialistes et passionnés de Harley Davidson, nous vous 
ferons partager notre expérience pour choisir la Harley 
Davidson qu'il vous faut.
ATELIER HARLEY DAVIDSON
achat, vente, préparation, création, customisation
Pour l'entretien de votre Harley Davidson, la préparation de
 votre moto d'occasion, pour personnaliser votre Harley ou 
réaliser votre chopper, notre atelier vous est dédié.
Quentin le chef d'atelier, mécanicien spécialiste Harley Davidson 
vous conseille et est toujours à votre écoute pour vous 
faire partager sa passion.
Michel, Mika, Quentin et Colinn, unis par la même passion, la Harley 
Davidson, vous font partager ou découvrir cet esprit qui 
unit les Biker's.
Du lundi au samedi notre show room vous accueille, essai 
motos le samedi, venez découvrir nos Harley Davidson","MARDI AU VENDREDI 10H-13H/14H-19H
 SAMEDI 10H-13H/14H/18H
LUNDI sur rdv 

contact@1340-motorcycles.com

02.41.18.84.51",Annonces (32)
